"ロボットコード","動態保存","復刻","メモ"
"128443301","true","false",""
"128553402","true","false",""
"128553601","false","false",""
"128553801","true","false",""
"128554001","true","false",""
"128664201","false","false",""
"128664501","true","false",""
"128664601","true","false",""
"128664701","true","false",""
"128664801","true","false",""
"128775001","false","false",""
"128775201","false","false",""
"128775202","false","false",""
"128775301","true","false",""
"128775302","true","false",""
"128885701","false","false",""
"128885702","true","false",""
"128886001","true","false",""
"128886101","false","false",""
"128886201","true","false",""
"128886202","true","false",""
"128886301","true","false",""
"128886302","true","false",""
"128886401","true","false",""
"129331702","false","false","動態/静態不明"
"129886101","false","false","部品のみ。"
"129886102","false","false","部品のみ。"
