"試合コード","試合番号（再試合）","属性(JSON)"
"1302204","1","{""robot_code"":""130221002-130220601"",""base-baloon"":""2-0"",""robot-baloon"":""8-3"",""time"":""0:53""}"
"1302101","1","{""robot_code"":""130220602-130221101"",""base-baloon"":""3-0"",""robot-baloon"":""8-8"",""time"":""2:22""}"
"1302102","1","{""robot_code"":""130220701-130221201"",""base-baloon"":""10-0"",""robot-baloon"":""5-3"",""time"":""2:31""}"
"1302202","1","{""robot_code"":""130220701-130221001"",""base-baloon"":""6-0"",""robot-baloon"":""9-10"",""time"":""0:46""}"
"1302301","1","{""robot_code"":""130220801-130220701"",""base-baloon"":""6-0"",""robot-baloon"":""10-1"",""time"":""2:07""}"
"1010001","1","{""robot_code"":""101220601-100000001"",""time"":""__:16-__:__""}"
"1010002","1","{""robot_code"":""101220801-100000001"",""time"":""__:18-__:__""}"
"1010003","1","{""robot_code"":""101331901-100000001"",""time"":""__:__-__:__""}"
"1010004","1","{""robot_code"":""101331301-100000001"",""time"":""03:57-__:__""}"
"1010005","1","{""robot_code"":""101443001-100000001"",""time"":""__:18-__:__""}"
"1010006","1","{""robot_code"":""101442501-100000001"",""time"":""__:20-__:__""}"
"1010007","1","{""robot_code"":""101442601-100000001"",""time"":""__:18-__:__""}"
"1010008","1","{""robot_code"":""101553601-100000001"",""time"":""__:32-__:__""}"
"1010009","1","{""robot_code"":""101554001-100000001"",""time"":""11:02-__:__""}"
"1010010","1","{""robot_code"":""101664101-100000001"",""time"":""01:02-__:__""}"
"1010011","1","{""robot_code"":""101885501-100000001"",""time"":""__:45-__:__""}"
"1010012","1","{""robot_code"":""101885601-100000001"",""time"":""__:16-__:__""}"
"1010002","2","{""robot_code"":""101220801-100000001"",""time"":""__:__-__:__"",""memo"":""一関、沼津、富山が同タイムだったので、再度タイムトライアルが行われた。""}"
"1010005","2","{""robot_code"":""101443001-100000001"",""time"":""__:__-__:__"",""memo"":""一関、沼津、富山が同タイムだったので、再度タイムトライアルが行われた。""}"
"1010007","2","{""robot_code"":""101442601-100000001"",""time"":""__:__-__:__"",""memo"":""一関、沼津、富山が同タイムだったので、再度タイムトライアルが行われた。""}"
"1010101","1","{""robot_code"":""101443001-101220601"",""time"":""__:14-__:15""}"
"1010102","1","{""robot_code"":""101885601-101442601"",""time"":""__:16-__:16"",""memo"":""計測上は同タイムだが久留米が先着。""}"
"1010201","1","{""robot_code"":""101443001-101885601"",""time"":""__:14-__:18""}"
